Unnamed: 0,player-name,all-time-runs-scored,all-time-average,all-time-strike-rate,all-time-100s,all-time-50s,all-time-4s,all-time-6s,all-time-wkts,all-time-ave,all-time-econ,all-time-sr,all-time-catches,ipl-last-n-runs-scored,ipl-last-n-average,ipl-last-n-strike-rate,ipl-last-n-4s,ipl-last-n-6s,ipl-last-n-wkts,ipl-last-n-ave,ipl-last-n-econ,ipl-last-n-sr,ipl-last-n-catches,ipl-last-n-run-outs,ipl-last-n-points,ipl-1-runs-scored,ipl-1-average,ipl-1-strike-rate,ipl-1-4s,ipl-1-6s,ipl-1-wkts,ipl-1-ave,ipl-1-econ,ipl-1-sr,ipl-1-catches,ipl-1-run-outs,ipl-1-points,ipl-2-runs-scored,ipl-2-average,ipl-2-strike-rate,ipl-2-4s,ipl-2-6s,ipl-2-wkts,ipl-2-ave,ipl-2-econ,ipl-2-sr,ipl-2-catches,ipl-2-run-outs,ipl-2-points,ipl-3-runs-scored,ipl-3-average,ipl-3-strike-rate,ipl-3-4s,ipl-3-6s,ipl-3-wkts,ipl-3-ave,ipl-3-econ,ipl-3-sr,ipl-3-catches,ipl-3-run-outs,ipl-3-points,ipl-4-runs-scored,ipl-4-average,ipl-4-strike-rate,ipl-4-4s,ipl-4-6s,ipl-4-wkts,ipl-4-ave,ipl-4-econ,ipl-4-sr,ipl-4-catches,ipl-4-run-outs,ipl-4-points,ipl-5-runs-scored,ipl-5-average,ipl-5-strike-rate,ipl-5-4s,ipl-5-6s,ipl-5-wkts,ipl-5-ave,ipl-5-econ,ipl-5-sr,ipl-5-catches,ipl-5-run-outs,ipl-5-points,points
429,harshal-patel,0.05914520074830911,0.4054743678960798,0.8884036588964297,0.0,0.03488372093023256,0.0717614165890028,0.04916420845624386,0.222007722007722,0.2819540229885057,0.621011673151751,0.3066666666666666,0.06312292358803986,0.06426735218508997,0.05973451327433629,0.1557281074751957,0.04545454545454546,0.0,0.5333333333333333,0.0703125,0.2666666666666667,0.1012396694214876,0.09090909090909091,0.0,0.4913793103448276,0.0,0.0,0.0,0.0,0.0,0.4,0.225,0.4233870967741936,0.08366141732283465,0.2,0.0,0.304932735426009,0.0303030303030303,0.0,0.223516361619523,0.0,0.0,1.0,0.1066666666666667,0.3661290322580645,0.02283464566929134,0.0,0.0,0.8026905829596412,0.03787878787878788,0.04724409448818898,0.09410242188944352,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0707070707070707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3064516129032258,0.0,0.0,0.0,0.04040404040404041,0.1212121212121212,0.1338582677165354,0.1791458679977815,0.06666666666666667,0.0,0.2,0.5,0.5564516129032258,0.358267716535433,0.0,0.0,0.2525252525252525,0.3228699551569507
4415,hardik-pandya,0.190171247661534,0.6385989329621898,0.8439657716140454,0.0,0.09302325581395349,0.1593662628145387,0.1573254670599803,0.2104247104247104,0.3166666666666667,0.6334630350194553,0.3366666666666667,0.292358803986711,0.1593830334190231,0.09587020648967552,0.2259278014902699,0.1136363636363636,0.1153846153846154,0.06666666666666667,0.2740384615384616,0.3333333333333334,0.3057851239669421,0.09090909090909091,0.25,0.2275862068965517,0.0303030303030303,0.03937007874015748,0.1347753743760399,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.08968609865470852,0.09848484848484848,0.1102362204724409,0.1983058538798972,0.1333333333333333,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.1031390134529148,0.1818181818181818,0.1968503937007874,0.1752875642045865,0.0,0.1818181818181818,0.2,0.4,0.5698924731182796,0.3910761154855644,0.0,0.5,0.4090909090909091,0.1136363636363636,0.0,0.6256239600665557,0.1333333333333333,0.09090909090909091,0.0,0.0,0.3064516129032258,0.0,0.0,0.0,0.1363636363636364,0.04545454545454546,0.0,0.3344425956738769,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.07575757575757576,0.179372197309417
2333,marcus-stoinis,0.2510433155849763,0.7422871723498028,0.7852463853644144,0.04545454545454546,0.2209302325581395,0.2833178005591799,0.1189773844641101,0.1544401544401544,0.3150574712643678,0.6933852140077821,0.3066666666666666,0.1362126245847176,0.2622107969151671,0.2300884955752212,0.2249759173307645,0.2045454545454546,0.1153846153846154,0.0,0.0,0.4428152492668622,0.0,0.09090909090909091,0.0,0.25,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.02690582959641256,0.2121212121212121,0.0,0.2928452579034942,0.2666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.2062780269058296,0.1136363636363636,0.1259842519685039,0.1484780268180483,0.0,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.1262626262626263,0.2121212121212121,0.0,0.3600409573787278,0.2,0.09090909090909091,0.0,0.0,0.2995391705069125,0.0,0.0,0.0,0.2373737373737374,0.2348484848484849,0.0,0.1858806750653673,0.1333333333333333,0.09090909090909091,0.0,0.0,0.3118279569892473,0.0,0.2,0.0,0.2777777777777778,0.242152466367713
2718,ravindra-jadeja,0.1954957547848611,0.572952911157504,0.7566833874299204,0.0,0.02325581395348837,0.1835973904939422,0.09636184857423795,0.3281853281853282,0.3537931034482759,0.5929961089494163,0.4033333333333333,0.3289036544850498,0.04370179948586118,0.07964601769911504,0.1246473269189033,0.0,0.03846153846153846,0.3333333333333333,0.09903846153846155,0.2298387096774193,0.1669421487603306,0.3636363636363636,0.0,0.3793103448275862,0.06060606060606061,0.0,0.4453688297282308,0.0,0.09090909090909091,0.0,0.0,0.3064516129032258,0.0,0.2,0.0,0.09865470852017937,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5080645161290323,0.3031496062992126,0.0,0.0,0.2017937219730942,0.04545454545454546,0.0,0.06821963394342762,0.0,0.0,0.4,0.1416666666666667,0.3830645161290323,0.06594488188976377,0.4,0.0,0.5050505050505051,0.0,0.0,0.0,0.0,0.0,0.2,0.4166666666666667,0.7096774193548387,0.5748031496062992,0.0,0.0,0.1868686868686869,0.02272727272727273,0.03149606299212598,0.1014975041597338,0.0,0.0,0.2,0.2333333333333333,0.4274193548387097,0.1692913385826772,0.2,0.0,0.2525252525252525,0.242152466367713
2080,navdeep-saini,0.003741545546121744,0.3015541637671074,0.4794924756565359,0.0,0.0,0.004659832246039142,0.0,0.0945945945945946,0.3667816091954023,0.5766536964980545,0.43,0.03986710963455149,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1644230769230769,0.3140916808149405,0.1966942148760331,0.09090909090909091,0.25,0.253448275862069,0.0,0.0,0.0,0.0,0.0,0.2,0.75,0.6774193548387096,0.5275590551181102,0.0,0.0,0.1390134529147982,0.0,0.0,0.0,0.0,0.0,0.4,0.2916666666666667,0.4556451612903226,0.1072834645669291,0.0,0.0,0.2600896860986547,0.0,0.0,0.0,0.0,0.0,0.2,0.4166666666666667,0.5161290322580645,0.2913385826771653,0.0,0.5,0.2373737373737374,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.5725806451612904,0.3976377952755906,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118279569892473,0.0,0.2,0.0,0.06060606060606061,0.03587443946188341
3390,mayank-agarwal,0.2628435746150525,0.6140106703781025,0.7978164650339333,0.09090909090909091,0.2558139534883721,0.3308480894687791,0.1307767944936087,0.0,0.0,0.622568093385214,0.0,0.186046511627907,0.1645244215938303,0.0752212389380531,0.2189887602295494,0.1136363636363636,0.07692307692307693,0.0,0.0,0.0,0.0,0.1818181818181818,0.25,0.1775862068965517,0.08333333333333333,0.09448818897637795,0.2631328737817922,0.0,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.09417040358744394,0.09090909090909091,0.1023622047244094,0.1347753743760399,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.4,0.0,0.1614349775784753,0.1590909090909091,0.1732283464566929,0.2200499168053245,0.2,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.5,0.202020202020202,0.01515151515151515,0.0,0.1680532445923461,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0505050505050505,0.1363636363636364,0.1496062992125984,0.3344425956738769,0.1333333333333333,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.1515151515151515,0.04484304932735426
723,kagiso-rabada,0.01791624694200604,0.2219902574808629,0.6021835349660668,0.0,0.0,0.0195712954333644,0.007866273352999017,0.2992277992277992,0.2417241379310345,0.6077821011673151,0.2683333333333334,0.1162790697674419,0.06169665809768637,0.03982300884955752,0.1680532445923461,0.02272727272727273,0.03846153846153846,0.4,0.1418269230769231,0.3225806451612903,0.1652892561983471,0.09090909090909091,0.0,0.3224137931034483,0.0,0.0,0.0,0.0,0.0,0.4,0.2666666666666667,0.4435483870967742,0.1082677165354331,0.0,0.0,0.2600896860986547,0.09090909090909091,0.1023622047244094,0.2869027810791538,0.0,0.09090909090909091,0.0,0.0,0.3118279569892473,0.0,0.0,0.0,0.09865470852017937,0.02272727272727273,0.03149606299212598,0.07297361540289991,0.0,0.0,0.0,0.0,0.3145161290322581,0.0,0.0,0.0,0.02525252525252525,0.06818181818181818,0.07874015748031496,0.151414309484193,0.06666666666666667,0.0,0.4,0.2916666666666667,0.4556451612903226,0.1072834645669291,0.2,0.0,0.3838383838383838,0.0,0.0,0.0,0.0,0.0,0.4,0.2416666666666667,0.4314516129032258,0.09350393700787402,0.0,0.0,0.303030303030303,0.1390134529147982
952,nicholas-pooran,0.2283062311123903,0.55741127348643,0.8472705812924166,0.04545454545454546,0.186046511627907,0.1938490214352283,0.2143559488692232,0.0,0.0,0.0,0.0,0.3421926910299004,0.3367609254498715,0.1976401179941003,0.2775753491017081,0.2727272727272727,0.2692307692307692,0.0,0.0,0.0,0.0,0.2727272727272727,0.5,0.3913793103448276,0.2424242424242424,0.0,0.1918231518897076,0.1333333333333333,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.242152466367713,0.4015151515151515,0.4251968503937008,0.3166151652008557,0.4,0.2727272727272727,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.3901345291479821,0.1818181818181818,0.1968503937007874,0.3344425956738769,0.1333333333333333,0.1818181818181818,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.2626262626262627,0.04545454545454546,0.0,1.0,0.0,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.1212121212121212,0.1212121212121212,0.1338582677165354,0.2678868552412645,0.1333333333333333,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.0,1.0,0.2222222222222222,0.08071748878923767
4350,rishabh-pant,0.239818678946611,0.7578288100208769,0.8730008852168782,0.09090909090909091,0.2325581395348837,0.2795899347623486,0.1553588987217306,0.0,0.0,0.0,0.0,0.3089700996677741,0.2005141388174807,0.07345132743362832,0.2966268340644381,0.1590909090909091,0.1923076923076923,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.246551724137931,0.2575757575757576,0.2755905511811024,0.2845257903494177,0.2666666666666667,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.2511210762331839,0.04545454545454546,0.05511811023622047,0.2512479201331115,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.06726457399103139,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.4,0.0,0.1313131313131313,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0303030303030303,0.2878787878787879,0.3070866141732284,0.3968386023294509,0.1333333333333333,0.3636363636363636,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.3737373737373738,0.7130044843049327
4334,yuzvendra-chahal,0.0046049791336883,0.1141266527487822,0.3095308350545884,0.0,0.0,0.0009319664492078285,0.0,0.4362934362934363,0.2839080459770115,0.5937743190661479,0.3233333333333333,0.1727574750830565,0.012853470437018,0.01548672566371681,0.06565979777294254,0.0,0.0,0.4666666666666667,0.09890109890109891,0.2922201138519924,0.128689492325856,0.2727272727272727,0.0,0.3896551724137931,0.0,0.0,0.0,0.0,0.0,0.2,0.6166666666666667,0.6129032258064516,0.4330708661417323,0.2,0.0,0.1838565022421525,0.0303030303030303,0.0,0.07561471621371788,0.0,0.0,0.0,0.0,0.3064516129032258,0.0,0.0,0.0,0.02690582959641256,0.007575757575757576,0.01574803149606299,0.08485856905158069,0.0,0.0,0.0,0.0,0.3118279569892473,0.0,0.0,0.0,0.04545454545454546,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.6,0.1055555555555556,0.3655913978494624,0.03237095363079615,0.2,0.0,0.5505050505050505,0.0,0.0,0.0,0.0,0.0,0.6,0.1888888888888889,0.4059139784946236,0.0546806649168854,0.2,0.0,0.4797979797979798,0.2959641255605381
2263,imran-tahir,0.01935530292128364,0.23985154256553,0.642667453526114,0.0,0.0,0.01677539608574091,0.00983284169124877,0.7451737451737451,0.2279310344827586,0.5408560311284047,0.285,0.2192691029900332,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.07451923076923077,0.2193548387096774,0.1322314049586777,0.09090909090909091,0.0,0.4206896551724138,0.0,0.0,0.0,0.0,0.0,0.4,0.1833333333333333,0.4032258064516129,0.07480314960629922,0.2,0.0,0.3139013452914798,0.0,0.0,0.0,0.0,0.0,0.8,0.1291666666666667,0.3770161290322581,0.03321850393700788,0.0,0.0,0.5291479820627802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3145161290322581,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.4,0.1916666666666667,0.4072580645161291,0.0797244094488189,0.0,0.0,0.3535353535353535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3145161290322581,0.0,0.0,0.0,0.06060606060606061,0.1479820627802691
