player-name,wk,role,season,match,batting-runs,balls,out,4s,6s,sr,overs,maiden,bowling-runs,wickets,econ,0s,4s,6s,catches,run-out,stumping,points
chetan-sakariya,0,bowl,0,0,0,0,0,0,0,0,4.0,0,38,0,9.5,7,3,2,0,0,0,0
manish-pandey,0,bat,2021,28,31,20,1,3,2,155.0,0,0,0,0,0,0,0,0,0,0,0,42
bhuvneshwar-kumar,0,bowl,2021,28,14,10,0,2,0,140.0,4.0,0,37,0,9.25,7,4,1,0,0,0,16
kedar-jadhav,0,all,2021,28,19,19,1,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,21
rashid-khan,0,bowl,2021,28,0,2,1,0,0,0.0,4.0,0,24,1,6.0,10,3,0,0,0,0,25
sandeep-sharma,0,bowl,2021,28,8,6,0,1,0,133.33,4.0,0,50,1,12.5,7,2,4,0,0,0,34
abdul-samad,0,bat,2021,28,10,8,1,0,1,125.0,0,0,0,0,0,0,0,0,1,0,0,20
mohammad-nabi,0,all,2021,28,17,5,1,1,2,340.0,1.0,0,21,0,21.0,1,2,2,0,0,0,22
jonny-bairstow,1,bat,2021,28,30,21,1,4,1,142.85,0,0,0,0,0,0,0,0,0,0,0,40
khaleel-ahmed,0,bowl,0,0,0,0,0,0,0,0,4.0,0,41,0,10.25,8,4,2,0,0,0,0
vijay-shankar,0,all,2021,28,8,8,1,1,0,100.0,3.0,0,42,1,14.0,4,2,3,0,0,0,34
kane-williamson,0,bat,2021,28,20,21,1,1,0,95.23,0,0,0,0,0,0,0,0,0,0,0,21
shardul-thakur,0,bowl,0,0,0,0,0,0,0,0,4.0,0,56,1,14.0,4,4,3,1,0,0,33
ambati-rayudu,0,bat,2021,27,72,27,0,4,7,266.66,0,0,0,0,0,0,0,0,0,0,0,98
ms-dhoni,1,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
lungi-ngidi,0,bowl,0,0,0,0,0,0,0,0,4.0,0,62,0,15.5,3,5,5,0,0,0,0
deepak-chahar,0,bowl,0,0,0,0,0,0,0,0,4.0,0,37,0,9.25,8,4,1,0,0,0,0
moeen-ali,0,all,2021,27,58,36,1,5,5,161.11,1.0,0,1,1,1.0,5,0,0,1,0,0,114
faf-du-plessis,0,bat,2021,27,50,28,1,2,4,178.57,0,0,0,0,0,0,0,0,1,0,0,76
ruturaj-gaikwad,0,bat,2021,27,4,4,1,1,0,100.0,0,0,0,0,0,0,0,0,1,0,0,13
sam-curran,0,all,0,0,0,0,0,0,0,0,4.0,0,34,3,8.5,11,3,2,0,0,0,79
suresh-raina,0,bat,2021,27,2,4,1,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,2
ravindra-jadeja,0,all,2021,27,22,22,0,2,0,100.0,3.0,0,29,1,9.66,5,0,3,0,0,0,49
hardik-pandya,0,all,2021,27,16,7,1,0,2,228.57,0,0,0,0,0,0,0,0,0,0,0,20
suryakumar-yadav,0,bat,2021,27,3,3,1,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,3
rahul-chahar,0,bowl,0,0,0,0,0,0,0,0,4.0,0,32,0,8.0,8,0,3,1,0,0,8
jasprit-bumrah,0,bowl,0,0,0,0,0,0,0,0,4.0,0,56,1,14.0,5,4,4,1,0,0,33
krunal-pandya,0,all,2021,27,32,23,1,2,2,139.13,0,0,0,0,0,0,0,0,0,0,0,42
dhawal-kulkarni,0,bowl,2021,27,0,0,0,0,0,0.0,4.0,0,48,0,12.0,7,3,4,0,0,0,0
trent-boult,0,bowl,0,0,0,0,0,0,0,0,4.0,0,42,1,10.5,10,4,3,0,0,0,25
quinton-de-kock,1,bat,2021,27,38,28,1,4,1,135.71,0,0,0,0,0,0,0,0,2,0,0,64
kieron-pollard,0,all,2021,27,87,34,0,6,8,255.88,2.0,0,12,2,6.0,4,1,0,0,0,0,167
rohit-sharma,0,bat,2021,27,35,24,1,4,1,145.83,0,0,0,0,0,0,0,0,0,0,0,45
james-neesham,0,all,2021,27,0,1,1,0,0,0.0,2.0,0,26,0,13.0,3,2,2,0,0,0,-2
harpreet-brar,0,bowl,2021,26,25,17,0,1,2,147.05,4.0,1,19,3,4.75,15,1,1,1,0,0,129
prabhsimran-singh,1,bat,2021,26,7,7,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,8
ravi-bishnoi,0,bowl,0,0,0,0,0,0,0,0,4.0,0,17,2,4.25,10,0,0,1,0,0,58
nicholas-pooran,1,bat,2021,26,0,3,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,6
riley-meredith,0,bowl,0,0,0,0,0,0,0,0,3.2,0,29,1,8.69,7,2,2,0,0,0,25
chris-jordan,0,bowl,0,0,0,0,0,0,0,0,4.0,0,31,1,7.75,9,3,1,0,0,0,25
mohammed-shami,0,bowl,0,0,0,0,0,0,0,0,3.4,0,28,1,7.63,9,3,1,0,0,0,25
chris-gayle,0,all,2021,26,46,24,1,6,2,191.66,0,0,0,0,0,0,0,0,0,0,0,60
shahrukh-khan,0,bat,2021,26,0,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
kl-rahul,0,bat,2021,26,91,57,0,7,5,159.64,0,0,0,0,0,0,0,0,1,0,0,124
deepak-hooda,0,all,2021,26,5,9,1,0,0,55.55,1.0,0,13,0,13.0,1,1,1,0,0,0,5
devdutt-padikkal,0,bat,2021,26,7,6,1,0,1,116.66,0,0,0,0,0,0,0,0,0,0,0,9
yuzvendra-chahal,0,bowl,0,0,0,0,0,0,0,0,4.0,0,34,1,8.5,9,1,3,0,0,0,25
shahbaz-ahmed,0,all,2021,26,8,11,1,1,0,72.72,2.0,0,11,1,5.5,2,0,0,1,0,0,42
daniel-sams,0,all,2021,26,3,4,1,0,0,75.0,4.0,0,24,1,6.0,11,1,1,0,0,0,28
glenn-maxwell,0,all,2021,26,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
virat-kohli,0,bat,2021,26,35,34,1,3,1,102.94,0,0,0,0,0,0,0,0,1,0,0,52
mohammed-siraj,0,bowl,2021,26,0,1,0,0,0,0.0,3.0,0,24,0,8.0,7,2,1,0,0,0,0
ab-de-villiers,1,bat,2021,26,3,9,1,0,0,33.33,0,0,0,0,0,0,0,0,1,0,0,11
harshal-patel,0,bowl,2021,26,31,13,1,3,2,238.46,4.0,0,53,0,13.25,5,6,3,0,0,0,42
kyle-jamieson,0,bowl,2021,26,16,11,0,1,1,145.45,3.0,0,32,2,10.66,7,5,1,0,0,0,69
rajat-patidar,0,bat,2021,26,31,30,1,2,1,103.33,0,0,0,0,0,0,0,0,1,0,0,47
prasidh-krishna,0,bowl,0,0,0,0,0,0,0,0,3.3,0,36,0,10.28,10,5,1,0,0,0,0
pat-cummins,0,bowl,2021,25,11,13,0,1,0,84.61,4.0,0,24,3,6.0,15,3,1,0,0,0,91
andre-russell,0,all,2021,25,45,27,0,2,4,166.66,0,0,0,0,0,0,0,0,0,0,0,59
rahul-tripathi,0,bat,2021,25,19,17,1,2,0,111.76,0,0,0,0,0,0,0,0,0,0,0,21
dinesh-karthik,1,bat,2021,25,14,10,1,1,1,140.0,0,0,0,0,0,0,0,0,0,0,0,17
eoin-morgan,0,bat,2021,25,0,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
varun-chakravarthy,0,bowl,0,0,0,0,0,0,0,0,4.0,0,34,0,8.5,5,2,1,0,0,0,0
sunil-narine,0,all,2021,25,0,1,1,0,0,0.0,4.0,0,36,0,9.0,6,2,2,0,0,0,-2
shivam-mavi,0,all,0,0,0,0,0,0,0,0,1.0,0,25,0,25.0,0,6,0,1,0,0,8
nitish-rana,0,bat,2021,25,15,12,1,1,1,125.0,0,0,0,0,0,0,0,0,1,0,0,26
shubman-gill,0,bat,2021,25,43,38,1,3,1,113.15,0,0,0,0,0,0,0,0,0,0,0,52
lalit-yadav,0,all,0,0,0,0,0,0,0,0,3.0,0,13,2,4.33,6,0,0,1,0,0,58
prithvi-shaw,0,bat,2021,25,82,41,1,11,3,200.0,0,0,0,0,0,0,0,0,0,0,0,107
kagiso-rabada,0,bowl,0,0,0,0,0,0,0,0,4.0,0,31,0,7.75,10,2,2,0,0,0,0
avesh-khan,0,bowl,0,0,0,0,0,0,0,0,4.0,0,31,1,7.75,8,3,1,0,0,0,25
shikhar-dhawan,0,bat,2021,25,46,47,1,4,1,97.87,0,0,0,0,0,0,0,0,0,0,0,56
steven-smith,0,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16
ishant-sharma,0,bowl,0,0,0,0,0,0,0,0,4.0,0,34,0,8.5,6,3,1,0,0,0,0
shimron-hetmyer,0,bat,2021,25,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
rishabh-pant,1,bat,2021,25,16,8,1,2,1,200.0,0,0,0,0,0,0,0,0,0,0,0,20
axar-patel,0,all,0,0,0,0,0,0,0,0,4.0,0,32,2,8.0,11,1,3,0,0,0,50
marcus-stoinis,0,bat,2021,25,6,3,0,1,0,200.0,1.0,0,7,1,7.0,3,1,0,0,0,0,32
jaydev-unadkat,0,bowl,0,0,0,0,0,0,0,0,4.0,0,33,0,8.25,7,3,1,0,0,0,0
shivam-dube,0,all,2021,24,35,31,1,2,2,112.9,1.0,0,6,0,6.0,3,0,0,0,0,0,45
mustafizur-rahman,0,bowl,0,0,0,0,0,0,0,0,3.3,0,37,1,10.57,6,4,2,0,0,0,25
sanju-samson,1,bat,2021,24,42,27,1,5,0,155.55,0,0,0,0,0,0,0,0,0,0,0,51
yashasvi-jaiswal,0,bat,2021,24,32,20,1,2,2,160.0,0,0,0,0,0,0,0,0,0,0,0,42
riyan-parag,0,bat,2021,24,8,7,0,1,0,114.28,0,0,0,0,0,0,0,0,0,0,0,9
david-miller,0,bat,2021,24,7,4,0,1,0,175.0,0,0,0,0,0,0,0,0,0,0,0,8
jos-buttler,1,bat,2021,24,41,32,1,3,3,128.12,0,0,0,0,0,0,0,0,1,0,0,62
chris-morris,0,all,0,0,0,0,0,0,0,0,4.0,0,33,2,8.25,9,2,2,0,0,0,50
rahul-tewatia,0,bowl,0,0,0,0,0,0,0,0,3.0,0,30,0,10.0,4,3,1,0,0,0,0
chetan-sakariya,0,bowl,0,0,0,0,0,0,0,0,3.0,0,18,0,6.0,6,1,0,1,0,0,8
jayant-yadav,0,bowl,0,0,0,0,0,0,0,0,3.0,0,37,0,12.33,3,1,3,0,0,0,0
nathan-coulter-nile,0,all,0,0,0,0,0,0,0,0,4.0,0,35,0,8.75,8,4,1,0,0,0,0
hardik-pandya,0,all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suryakumar-yadav,0,bat,2021,24,16,10,1,3,0,160.0,0,0,0,0,0,0,0,0,0,0,0,19
rahul-chahar,0,bowl,0,0,0,0,0,0,0,0,4.0,0,33,2,8.25,7,2,2,1,0,0,58
jasprit-bumrah,0,bowl,0,0,0,0,0,0,0,0,4.0,0,15,1,3.75,12,1,0,1,0,0,33
krunal-pandya,0,all,2021,24,39,26,1,2,2,150.0,1.0,0,12,0,12.0,0,2,0,0,0,0,49
trent-boult,0,bowl,0,0,0,0,0,0,0,0,4.0,0,37,1,9.25,7,4,1,0,0,0,25
quinton-de-kock,1,bat,2021,24,70,50,0,6,2,140.0,0,0,0,0,0,0,0,0,0,0,0,88
kieron-pollard,0,all,2021,24,16,8,0,2,1,200.0,0,0,0,0,0,0,0,0,0,0,0,20
rohit-sharma,0,bat,2021,24,14,17,1,0,1,82.35,0,0,0,0,0,0,0,0,0,0,0,16
siddarth-kaul,0,bowl,0,0,0,0,0,0,0,0,4.0,0,32,0,8.0,8,4,0,0,0,0,0
jagadeesha-suchith,0,bowl,0,0,0,0,0,0,0,0,3.0,0,45,0,15.0,2,7,1,0,0,0,0
manish-pandey,0,bat,2021,23,61,46,1,5,1,132.6,0,0,0,0,0,0,0,0,0,0,0,76
david-warner,0,bat,2021,23,57,55,1,3,2,103.63,0,0,0,0,0,0,0,0,0,0,0,72
kedar-jadhav,0,all,2021,23,12,4,0,1,1,300.0,0,0,0,0,0,0,0,0,1,0,0,23
rashid-khan,0,bowl,0,0,0,0,0,0,0,0,4.0,0,36,3,9.0,7,6,0,0,0,0,79
sandeep-sharma,0,bowl,0,0,0,0,0,0,0,0,3.3,0,24,0,6.85,8,3,0,0,0,0,0
jonny-bairstow,1,bat,2021,23,7,5,1,1,0,140.0,0,0,0,0,0,0,0,0,0,0,0,8
khaleel-ahmed,0,bowl,0,0,0,0,0,0,0,0,4.0,0,36,0,9.0,7,5,0,0,0,0,0
vijay-shankar,0,all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kane-williamson,0,bat,2021,23,26,10,0,4,1,260.0,0,0,0,0,0,0,0,0,0,0,0,32
shardul-thakur,0,bowl,0,0,0,0,0,0,0,0,4.0,0,44,0,11.0,4,5,1,0,0,0,0
ambati-rayudu,0,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ms-dhoni,1,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lungi-ngidi,0,bowl,0,0,0,0,0,0,0,0,4.0,0,35,2,8.75,7,3,1,0,0,0,50
deepak-chahar,0,bowl,0,0,0,0,0,0,0,0,3.0,0,21,0,7.0,7,3,0,1,0,0,8
moeen-ali,0,all,2021,23,15,8,1,3,0,187.5,2.0,0,16,0,8.0,3,0,1,0,0,0,18
faf-du-plessis,0,bat,2021,23,56,38,1,6,1,147.36,0,0,0,0,0,0,0,0,1,0,0,80
ruturaj-gaikwad,0,bat,2021,23,75,44,1,12,0,170.45,0,0,0,0,0,0,0,0,0,0,0,95
sam-curran,0,all,0,0,0,0,0,0,0,0,4.0,0,30,1,7.5,9,2,1,0,0,0,25
suresh-raina,0,bat,2021,23,17,15,0,3,0,113.33,0,0,0,0,0,0,0,0,0,0,0,20
ravindra-jadeja,0,all,2021,23,7,6,0,1,0,116.66,3.0,0,23,0,7.66,6,1,1,1,0,0,16
devdutt-padikkal,0,bat,2021,22,17,14,1,3,0,121.42,0,0,0,0,0,0,0,0,0,0,0,20
yuzvendra-chahal,0,bowl,0,0,0,0,0,0,0,0,2.0,0,10,0,5.0,5,1,0,1,0,0,8
daniel-sams,0,all,2021,22,3,2,0,0,0,150.0,2.0,0,15,0,7.5,4,2,0,0,0,0,3
glenn-maxwell,0,all,2021,22,25,20,1,1,2,125.0,0,0,0,0,0,0,0,0,0,0,0,30
virat-kohli,0,bat,2021,22,12,11,1,2,0,109.09,0,0,0,0,0,0,0,0,0,0,0,14
mohammed-siraj,0,bowl,0,0,0,0,0,0,0,0,4.0,0,44,1,11.0,5,6,1,0,0,0,25
ab-de-villiers,1,bat,2021,22,75,42,0,3,5,178.57,0,0,0,0,0,0,0,0,3,0,0,124
harshal-patel,0,bowl,0,0,0,0,0,0,0,0,4.0,0,37,2,9.25,5,4,0,0,0,0,50
kyle-jamieson,0,bowl,0,0,0,0,0,0,0,0,4.0,0,32,1,8.0,11,1,3,0,0,0,25
rajat-patidar,0,bat,2021,22,31,22,1,0,2,140.9,0,0,0,0,0,0,0,0,0,0,0,39
washington-sundar,0,all,2021,22,6,9,1,0,0,66.66,4.0,0,28,0,7.0,5,2,0,0,0,0,6
prithvi-shaw,0,bat,2021,22,21,18,1,3,0,116.66,0,0,0,0,0,0,0,0,0,0,0,24
kagiso-rabada,0,bowl,0,0,0,0,0,0,0,0,4.0,0,38,1,9.5,6,4,1,1,0,0,33
avesh-khan,0,bowl,0,0,0,0,0,0,0,0,4.0,0,24,1,6.0,11,3,0,0,0,0,25
shikhar-dhawan,0,bat,2021,22,6,7,1,1,0,85.71,0,0,0,0,0,0,0,0,0,0,0,7
steven-smith,0,bat,2021,22,4,5,1,1,0,80.0,0,0,0,0,0,0,0,0,2,0,0,21
amit-mishra,0,bowl,0,0,0,0,0,0,0,0,3.0,0,27,1,9.0,2,0,2,0,0,0,25
ishant-sharma,0,bowl,0,0,0,0,0,0,0,0,4.0,1,26,1,6.5,11,2,1,0,0,0,37
shimron-hetmyer,0,bat,2021,22,53,25,0,2,4,212.0,0,0,0,0,0,0,0,0,0,0,0,71
rishabh-pant,1,bat,2021,22,58,48,0,6,0,120.83,0,0,0,0,0,0,0,0,0,0,0,72
axar-patel,0,all,0,0,0,0,0,0,0,0,4.0,0,33,1,8.25,5,0,2,0,0,0,25
marcus-stoinis,0,bat,2021,22,22,17,1,3,0,129.41,1.0,0,23,0,23.0,1,0,3,0,0,0,25
ravi-bishnoi,0,bowl,2021,21,1,4,1,0,0,25.0,4.0,0,19,0,4.75,9,1,0,1,0,0,9
nicholas-pooran,1,bat,2021,21,19,19,1,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,22
arshdeep-singh,0,bowl,2021,21,1,1,0,0,0,100.0,2.4,0,27,1,10.12,5,5,0,0,1,0,32
chris-jordan,0,bowl,2021,21,30,18,1,1,3,166.66,3.0,0,24,0,8.0,8,4,0,0,0,0,41
mohammed-shami,0,bowl,2021,21,1,2,0,0,0,50.0,4.0,0,25,1,6.25,17,4,1,0,0,0,26
chris-gayle,0,all,2021,21,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
mayank-agarwal,0,bat,2021,21,31,34,1,1,2,91.17,0,0,0,0,0,0,0,0,0,0,0,40
moises-henriques,0,all,2021,21,2,3,1,0,0,66.66,1.0,0,5,1,5.0,4,1,0,0,0,0,27
shahrukh-khan,0,bat,2021,21,13,14,1,0,1,92.85,0,0,0,0,0,0,0,0,2,0,0,31
kl-rahul,0,bat,2021,21,19,20,1,2,1,95.0,0,0,0,0,0,0,0,0,0,0,1,35
deepak-hooda,0,all,2021,21,1,4,1,0,0,25.0,2.0,0,20,1,10.0,3,2,1,0,0,0,26
prasidh-krishna,0,bowl,0,0,0,0,0,0,0,0,4.0,0,30,3,7.5,12,0,3,0,0,0,79
pat-cummins,0,bowl,0,0,0,0,0,0,0,0,3.0,0,31,2,10.33,9,2,3,0,0,0,50
andre-russell,0,all,2021,21,10,9,1,2,0,111.11,1.0,0,2,0,2.0,4,0,0,0,0,0,12
rahul-tripathi,0,bat,2021,21,41,32,1,7,0,128.12,0,0,0,0,0,0,0,0,1,0,0,60
dinesh-karthik,1,bat,2021,21,12,6,0,2,0,200.0,0,0,0,0,0,0,0,0,1,0,0,22
eoin-morgan,0,bat,2021,21,47,40,0,4,2,117.5,0,0,0,0,0,0,0,0,3,0,0,87
varun-chakravarthy,0,bowl,0,0,0,0,0,0,0,0,4.0,0,24,1,6.0,10,1,1,0,0,0,25
sunil-narine,0,all,2021,21,0,4,1,0,0,0.0,4.0,0,22,2,5.5,10,1,1,1,0,0,56
shivam-mavi,0,all,0,0,0,0,0,0,0,0,4.0,0,13,1,3.25,15,1,0,0,0,0,25
nitish-rana,0,bat,2021,21,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
shubman-gill,0,bat,2021,21,9,8,1,2,0,112.5,0,0,0,0,0,0,0,0,0,0,0,11
prithvi-shaw,0,bat,2021,20,53,39,1,7,1,135.89,0,0,0,0,0,0,0,0,0,0,0,70
kagiso-rabada,0,bowl,0,0,0,0,0,0,0,0,3.0,0,25,0,8.33,7,2,1,0,1,0,6
avesh-khan,0,bowl,0,0,0,0,0,0,0,0,4.0,0,34,3,8.5,9,3,1,0,0,0,79
shikhar-dhawan,0,bat,2021,20,28,26,1,3,0,107.69,0,0,0,0,0,0,0,0,1,0,0,39
steven-smith,0,bat,2021,20,34,25,0,3,1,136.0,0,0,0,0,0,0,0,0,0,0,0,43
ravichandran-ashwin,0,all,0,0,0,0,0,0,0,0,4.0,0,27,0,6.75,12,3,1,0,0,0,0
amit-mishra,0,bowl,0,0,0,0,0,0,0,0,4.0,0,31,1,7.75,8,3,0,0,0,0,25
shimron-hetmyer,0,bat,2021,20,1,2,1,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,1
rishabh-pant,1,bat,2021,20,37,27,1,4,1,137.03,0,0,0,0,0,0,0,0,0,0,1,59
axar-patel,0,all,0,0,0,0,0,0,0,0,4.0,0,26,2,6.5,11,2,1,0,0,0,50
marcus-stoinis,0,bat,2021,20,2,2,0,0,0,100.0,1.0,0,12,0,12.0,2,1,1,1,0,0,10
siddarth-kaul,0,bowl,0,0,0,0,0,0,0,0,4.0,0,31,2,7.75,8,1,2,0,0,0,50
jagadeesha-suchith,0,bowl,2021,20,14,6,0,2,1,233.33,4.0,0,21,0,5.25,9,2,0,1,1,0,32
virat-singh,0,bat,2021,20,4,14,1,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,4
david-warner,0,bat,2021,20,6,8,1,0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,6
kedar-jadhav,0,all,2021,20,9,9,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,10
rashid-khan,0,bowl,2021,20,0,1,1,0,0,0.0,4.0,0,31,1,7.75,7,4,0,0,0,0,25
jonny-bairstow,1,bat,2021,20,38,18,1,3,4,211.11,0,0,0,0,0,0,0,0,0,0,0,53
khaleel-ahmed,0,bowl,0,0,0,0,0,0,0,0,4.0,0,42,0,10.5,6,6,1,0,1,0,6
vijay-shankar,0,all,2021,20,8,7,1,0,0,114.28,3.0,0,19,0,6.33,7,1,0,0,0,0,8
abhishek-sharma,0,all,2021,20,5,6,1,0,0,83.33,1.0,0,14,0,14.0,2,3,0,0,0,0,5
kane-williamson,0,bat,2021,20,66,51,0,8,0,129.41,0,0,0,0,0,0,0,0,1,0,0,90
dwayne-bravo,0,all,0,0,0,0,0,0,0,0,2.0,0,19,0,9.5,4,0,2,0,0,0,0
shardul-thakur,0,bowl,0,0,0,0,0,0,0,0,4.0,0,11,1,2.75,17,1,0,0,0,0,25
ambati-rayudu,0,bat,2021,19,14,7,1,1,1,200.0,0,0,0,0,0,0,0,0,0,0,0,17
ms-dhoni,1,bat,2021,19,2,3,0,0,0,66.66,0,0,0,0,0,0,0,0,1,0,0,10
imran-tahir,0,bowl,0,0,0,0,0,0,0,0,4.0,0,16,2,4.0,14,1,0,0,1,0,56
deepak-chahar,0,bowl,0,0,0,0,0,0,0,0,2.0,0,25,0,12.5,4,5,0,0,0,0,0
faf-du-plessis,0,bat,2021,19,50,41,1,5,1,121.95,0,0,0,0,0,0,0,0,0,0,0,65
ruturaj-gaikwad,0,bat,2021,19,33,25,1,4,1,132.0,0,0,0,0,0,0,0,0,1,0,0,51
sam-curran,0,all,0,0,0,0,0,0,0,0,4.0,0,35,1,8.75,9,2,2,0,0,0,25
suresh-raina,0,bat,2021,19,24,18,1,1,3,133.33,0,0,0,0,0,0,0,0,2,0,0,47
ravindra-jadeja,0,all,2021,19,62,28,0,4,5,221.42,4.0,1,13,3,3.25,15,1,0,0,1,0,181
devdutt-padikkal,0,bat,2021,19,34,15,1,4,2,226.66,0,0,0,0,0,0,0,0,1,0,0,54
yuzvendra-chahal,0,bowl,2021,19,8,21,0,0,0,38.09,3.0,0,24,1,8.0,8,1,2,0,0,0,33
glenn-maxwell,0,all,2021,19,22,15,1,3,0,146.66,0,0,0,0,0,0,0,0,0,0,0,25
virat-kohli,0,bat,2021,19,8,7,1,1,0,114.28,0,0,0,0,0,0,0,0,0,0,0,9
mohammed-siraj,0,bowl,2021,19,12,14,0,0,1,85.71,4.0,0,32,0,8.0,9,3,1,0,0,0,14
dan-christian,0,all,2021,19,1,3,1,0,0,33.33,2.0,0,12,0,6.0,5,1,0,1,0,0,9
ab-de-villiers,1,bat,2021,19,4,9,1,0,0,44.44,0,0,0,0,0,0,0,0,0,0,0,4
harshal-patel,0,bowl,2021,19,0,8,1,0,0,0.0,4.0,0,51,3,12.75,9,2,5,0,0,0,79
navdeep-saini,0,bowl,2021,19,2,4,1,0,0,50.0,2.0,0,27,0,13.5,1,3,1,0,0,0,2
