player-name,season,match,batting-runs,balls,out,4s,6s,sr,overs,maiden,bowling-runs,wickets,econ,0s,4s,6s,catches,run-out,stumping
yuzvendra-chahal,0,0,0,0,0,0,0,0,4.0,0,34,1,8.5,9,1,3,0,0,0
shahbaz-ahmed,2021,26,8,11,1,1,0,72.72,2.0,0,11,1,5.5,2,0,0,1,0,0
daniel-sams,2021,26,3,4,1,0,0,75.0,4.0,0,24,1,6.0,11,1,1,0,0,0
glenn-maxwell,2021,26,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
virat-kohli,2021,26,35,34,1,3,1,102.94,0,0,0,0,0,0,0,0,1,0,0
mohammed-siraj,2021,26,0,1,0,0,0,0.0,3.0,0,24,0,8.0,7,2,1,0,0,0
ab-de-villiers,2021,26,3,9,1,0,0,33.33,0,0,0,0,0,0,0,0,1,0,0
harshal-patel,2021,26,31,13,1,3,2,238.46,4.0,0,53,0,13.25,5,6,3,0,0,0
kyle-jamieson,2021,26,16,11,0,1,1,145.45,3.0,0,32,2,10.66,7,5,1,0,0,0
rajat-patidar,2021,26,31,30,1,2,1,103.33,0,0,0,0,0,0,0,0,1,0,0
prasidh-krishna,0,0,0,0,0,0,0,0,3.3,0,36,0,10.28,10,5,1,0,0,0
pat-cummins,2021,25,11,13,0,1,0,84.61,4.0,0,24,3,6.0,15,3,1,0,0,0
andre-russell,2021,25,45,27,0,2,4,166.66,0,0,0,0,0,0,0,0,0,0,0
rahul-tripathi,2021,25,19,17,1,2,0,111.76,0,0,0,0,0,0,0,0,0,0,0
dinesh-karthik,2021,25,14,10,1,1,1,140.0,0,0,0,0,0,0,0,0,0,0,0
eoin-morgan,2021,25,0,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
varun-chakravarthy,0,0,0,0,0,0,0,0,4.0,0,34,0,8.5,5,2,1,0,0,0
sunil-narine,2021,25,0,1,1,0,0,0.0,4.0,0,36,0,9.0,6,2,2,0,0,0
shivam-mavi,0,0,0,0,0,0,0,0,1.0,0,25,0,25.0,0,6,0,1,0,0
nitish-rana,2021,25,15,12,1,1,1,125.0,0,0,0,0,0,0,0,0,1,0,0
shubman-gill,2021,25,43,38,1,3,1,113.15,0,0,0,0,0,0,0,0,0,0,0
lalit-yadav,0,0,0,0,0,0,0,0,3.0,0,13,2,4.33,6,0,0,1,0,0
prithvi-shaw,2021,25,82,41,1,11,3,200.0,0,0,0,0,0,0,0,0,0,0,0
kagiso-rabada,0,0,0,0,0,0,0,0,4.0,0,31,0,7.75,10,2,2,0,0,0
avesh-khan,0,0,0,0,0,0,0,0,4.0,0,31,1,7.75,8,3,1,0,0,0
shikhar-dhawan,2021,25,46,47,1,4,1,97.87,0,0,0,0,0,0,0,0,0,0,0
steven-smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ishant-sharma,0,0,0,0,0,0,0,0,4.0,0,34,0,8.5,6,3,1,0,0,0
shimron-hetmyer,2021,25,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
rishabh-pant,2021,25,16,8,1,2,1,200.0,0,0,0,0,0,0,0,0,0,0,0
axar-patel,0,0,0,0,0,0,0,0,4.0,0,32,2,8.0,11,1,3,0,0,0
marcus-stoinis,2021,25,6,3,0,1,0,200.0,1.0,0,7,1,7.0,3,1,0,0,0,0
jaydev-unadkat,0,0,0,0,0,0,0,0,4.0,0,33,0,8.25,7,3,1,0,0,0
shivam-dube,2021,24,35,31,1,2,2,112.9,1.0,0,6,0,6.0,3,0,0,0,0,0
