,Player-name,Average Points,Average Batting-Runs,Average wicket per match,Average sr,Average bowl econ,Matches played
24,nitish-rana,36.857142857142854,24.349206349206348,0.1111111111111111,113.04898305084748,1.7142857142857142,63
25,andre-russell,56.46808510638298,23.53191489361702,0.7872340425531915,161.3697674418605,8.25063829787234,47
26,andrew-tye,46.407407407407405,3.3703703703703702,1.4814814814814814,95.38384615384615,8.564444444444444,27
27,robin-uthappa,33.666666666666664,22.537037037037038,0.0,118.89326923076922,0.0,54
28,ms-dhoni,35.455882352941174,20.558823529411764,0.0,118.71655172413793,0.0,68
29,kieron-pollard,32.98461538461538,18.96923076923077,0.1076923076923077,143.5689090909091,2.4573846153846155,65
30,narayan-jagadeesan,7.8,6.6,0.0,58.925,0.0,5
31,lukman-meriwala,23.0,0.0,1.0,0.0,10.66,1
32,trent-boult,39.829787234042556,0.2765957446808511,1.297872340425532,77.08333333333333,8.500212765957446,47
33,sheldon-jackson,16.25,9.5,0.0,148.40666666666667,0.0,4
34,jhye-richardson,36.0,5.0,1.0,34.09,10.333333333333334,3
35,kartik-tyagi,23.272727272727273,0.36363636363636365,0.9090909090909091,66.66,9.538181818181819,11
36,chris-lynn,46.86486486486486,33.513513513513516,0.0,129.34054054054056,0.0,37
37,mohammed-shami,35.680851063829785,1.2127659574468086,1.1702127659574468,92.30692307692308,8.82,47
38,yashasvi-jaiswal,27.166666666666668,17.666666666666668,0.0,96.02500000000002,0.0,6
39,mohammed-siraj,34.642857142857146,1.380952380952381,1.0714285714285714,75.32416666666667,8.903333333333334,42
40,lockie-ferguson,25.5,3.142857142857143,0.7857142857142857,134.45333333333335,8.887142857142857,14
41,amit-mishra,33.19512195121951,1.6341463414634145,1.024390243902439,128.858,7.846829268292683,41
42,anukul-roy,29.0,0.0,1.0,0.0,5.5,1
43,glenn-maxwell,35.75555555555555,18.0,0.3111111111111111,118.53214285714282,4.759111111111111,45
44,ab-de-villiers,48.785714285714285,32.125,0.0,132.4966037735849,0.0,56
45,liam-livingstone,31.5,17.5,0.0,121.01499999999999,3.25,4
46,axar-patel,38.054545454545455,9.709090909090909,0.7454545454545455,133.0597619047619,7.26,55
47,manish-pandey,38.145161290322584,26.483870967741936,0.0,113.10178571428571,0.0,62
48,james-neesham,11.166666666666666,3.1666666666666665,0.3333333333333333,72.91499999999999,9.943333333333333,6
49,chris-woakes,45.857142857142854,3.7142857142857144,1.4285714285714286,92.6025,8.91,21
50,mayank-markande,31.529411764705884,1.588235294117647,0.9411764705882353,96.19000000000001,8.954117647058824,17
51,basil-thampi,26.7,1.6,0.85,73.21428571428571,9.5825,20
52,shubman-gill,31.25,22.3125,0.0,117.6875,0.0,48
53,vishnu-vinod,6.0,6.333333333333333,0.0,90.55333333333333,0.0,3
54,kuldeep-yadav,26.61904761904762,1.3571428571428572,0.8095238095238095,72.69399999999999,8.142619047619048,42
55,josh-hazlewood,10.333333333333334,0.0,0.3333333333333333,0.0,6.75,3
56,mustafizur-rahman,28.933333333333334,0.06666666666666667,1.0,16.665,8.64,15
57,sunil-narine,45.43103448275862,14.741379310344827,0.7758620689655172,139.22745098039218,7.517413793103448,58
58,mandeep-singh,23.066666666666666,16.333333333333332,0.0,111.14047619047622,0.5777777777777777,45
59,pawan-negi,39.0,7.428571428571429,0.9523809523809523,100.473125,6.524285714285714,21
60,quinton-de-kock,46.95652173913044,30.17391304347826,0.0,118.41086956521737,0.0,46
61,mohammad-nabi,42.0,11.0625,0.8125,160.95923076923074,7.89,16
62,jaydev-unadkat,35.12244897959184,1.9591836734693877,1.0816326530612246,81.60818181818182,9.103469387755101,49
63,ben-stokes,49.93023255813954,21.3953488372093,0.6511627906976745,116.47999999999999,7.48,43
64,sarfaraz-khan,17.75,13.2,0.0,114.88642857142857,0.9,20
65,shahrukh-khan,19.25,13.375,0.0,126.11571428571428,0.0,8
66,shreyas-iyer,41.0,29.74137931034483,0.0,117.07666666666665,0.0,58
67,aditya-tare,5.666666666666667,6.0,0.0,35.29333333333333,0.0,3
68,ishan-kishan,37.72549019607843,24.352941176470587,0.0,116.70391304347824,0.0,51
