,points
1474,120
4423,53
1286,2
1839,37
582,76
3915,63
571,58
4154,-2
1149,46
3396,18
694,25
870,134
1022,19
2767,74
652,11
978,8
1962,50
3865,-6
2192,63
4085,77
359,28
4291,0
2310,6
2297,99
4774,-1
228,25
205,68
3751,3
3063,65
1343,0
4665,1
486,38
4248,63
4227,14
1132,0
1932,11
3745,9
1489,62
4493,86
2259,35
1702,0
2879,87
1644,9
3385,33
2533,84
2899,51
2885,25
1380,19
1926,17
1486,25
49,8
1317,1
287,48
2939,32
2805,25
3920,67
3876,17
1100,8
1259,0
3598,74
1615,68
1492,35
3712,19
1950,4
2403,60
2662,1
642,0
2928,28
1262,96
1255,8
206,6
4826,97
2976,2
647,19
1740,-2
2851,96
1957,59
118,45
2288,137
3435,12
4368,42
4559,6
2060,0
2736,6
3441,8
2122,38
751,53
643,6
1991,1
4327,50
3172,8
1895,36
3519,28
3287,3
2346,41
2232,0
386,37
3701,108
4333,58
1877,39
4913,39
1316,9
3534,25
551,16
2171,56
2677,-6
4656,79
806,8
4376,0
817,11
4741,76
3839,33
3061,34
3358,62
1119,28
4145,37
4597,79
2864,74
2145,25
2791,3
162,14
2023,30
4885,102
4907,25
26,28
475,134
4099,59
271,0
376,-2
4166,31
4354,46
4091,9
1850,14
2128,-2
2131,25
4815,67
4224,50
4343,100
2162,76
2875,9
680,34
3108,-6
3186,26
348,6
1642,50
3689,79
4636,108
799,27
500,10
2731,22
908,39
334,14
3728,6
2309,85
4160,88
2517,25
4631,2
608,0
4088,16
2721,29
3649,13
3103,65
3076,25
3386,21
2773,23
3996,36
2506,91
2216,43
2477,39
3695,25
2453,29
4579,39
3678,1
4383,2
229,49
3628,43
3963,0
1361,21
940,35
4453,0
1581,6
4818,66
3165,-6
4923,0
1324,0
34,35
4568,23
1597,10
3332,29
3438,11
4007,103
1232,19
4555,19
381,57
327,-6
309,16
1416,63
3156,76
4288,25
2307,81
2200,141
1862,35
317,37
4205,38
2073,1
3565,39
1689,50
3675,31
3887,2
2680,37
2699,50
3536,120
2322,62
4909,78
4140,61
157,23
1039,0
2915,14
4416,41
2546,138
4591,-2
758,87
45,49
2019,23
1660,8
2716,27
209,5
198,72
3893,37
3732,16
1011,68
3333,80
611,21
724,15
2315,37
4465,69
4834,70
2919,50
3472,39
1476,12
3595,0
38,22
1085,1
800,0
4577,30
2520,31
395,2
1938,5
4642,0
2953,0
3736,66
1455,25
101,56
2661,-2
4278,53
4902,22
4886,0
2876,25
1583,4
1140,-2
2160,0
2894,31
1546,8
1428,68
3289,-4
2897,58
1323,13
4851,0
2431,37
239,33
2193,72
2256,11
4071,28
3814,-2
3093,15
4066,5
4715,1
974,21
4326,5
2971,7
2730,47
3288,59
2983,97
2305,67
744,0
4433,10
3738,20
3618,19
4286,5
24,21
3804,6
4832,37
449,36
4899,80
450,8
3189,130
3655,90
4170,79
2869,11
1068,-6
2070,56
4804,10
2264,52
4204,-4
2196,13
2152,4
4601,2
2987,20
2326,6
706,57
2101,27
1282,1
145,8
452,2
2329,8
4523,33
2179,90
2325,74
2669,-6
4557,56
524,11
4777,0
4441,72
3819,27
2578,86
3463,49
384,37
2265,11
1417,94
1210,68
4392,26
1152,20
1797,38
2981,0
3106,0
4569,22
2363,-2
3418,72
371,33
1890,1
4315,51
3540,14
1002,12
3181,43
136,0
2568,99
3969,0
4052,65
1291,68
4918,62
3384,68
3274,28
3806,44
180,26
3039,28
1161,102
3121,73
170,72
3504,19
2627,112
2201,23
2372,27
2902,28
4512,-2
11,58
1374,41
896,15
4896,5
6,5
1250,4
30,25
4800,0
2124,15
1596,39
4743,118
2388,13
2543,0
14,35
2119,184
574,115
2065,6
736,83
4628,4
1812,109
1703,75
2841,-2
2663,8
149,82
4526,8
64,-4
1168,29
1074,0
1769,1
1016,80
4664,33
4670,25
2426,150
4922,-6
4603,25
3868,34
4494,20
2015,52
20,0
2380,42
1312,72
991,53
3603,56
3880,46
1327,18
2733,34
3364,102
888,100
4701,33
3052,58
1070,99
2174,25
3342,-1
3185,122
226,65
4717,42
2603,33
4519,67
3643,50
4077,28
1661,11
2033,58
2829,8
3885,65
2930,54
1582,97
292,8
4857,27
4284,82
1241,4
3248,12
4782,8
4858,72
4434,48
3812,8
3857,2
249,8
2180,6
4878,13
4692,31
67,-2
2375,29
1256,0
294,61
1695,0
2945,16
510,0
3086,19
4256,87
2604,0
2633,16
2269,-2
2210,65
4827,17
32,17
4112,91
4080,61
1628,9
481,9
4561,12
4293,4
1279,49
3737,124
2335,0
1787,72
4388,26
4588,99
3007,21
2654,59
2934,8
3209,1
4147,58
2802,48
4425,-2
3339,44
4915,58
3829,1
2277,19
906,21
2905,33
1247,14
3860,52
231,60
4471,85
3291,23
4031,33
199,39
56,3
3373,27
1410,94
600,56
3025,70
1515,16
4281,25
3205,69
1354,25
1816,71
1556,95
3713,87
2409,145
3635,68
4856,0
3743,57
2356,4
3523,8
1381,7
1602,69
1488,61
2236,-2
1135,35
3155,16
58,47
2558,56
918,8
4958,48
4850,124
1848,4
2530,65
4904,-2
2798,21
2095,30
3636,100
807,62
2071,41
3593,50
141,78
114,9
765,20
1618,31
1499,12
3715,28
2703,17
2847,53
2963,2
3352,98
3945,135
2672,68
4772,5
2084,30
3734,0
533,126
1937,8
4432,17
4819,38
841,13
1795,114
2580,36
3813,121
3175,40
565,-6
1574,58
2761,70
938,1
954,68
3666,11
701,29
139,0
3731,74
3709,36
48,-6
1984,34
4540,80
365,126
2972,51
3974,15
1302,13
295,6
690,10
2302,75
3535,-1
3970,58
1394,36
487,9
4916,72
4738,60
1982,102
3767,19
332,26
4387,-6
1999,28
4502,4
47,13
4928,60
2819,47
3022,65
4307,-2
4679,14
4280,27
4545,3
4952,32
4538,46
4115,25
4330,28
2407,4
2704,69
204,87
3654,-2
4039,21
984,1
21,33
4454,6
3623,83
3590,40
3890,74
311,90
553,7
632,86
4768,31
3705,21
235,33
4621,24
2425,19
537,6
2460,25
4580,18
926,33
3669,38
1285,85
3815,6
2268,55
3464,25
4919,33
1375,0
2010,28
4780,163
843,44
813,60
2812,25
1169,101
4723,72
298,97
4334,23
286,0
1714,45
648,83
4596,52
4435,0
4032,104
2181,19
3792,0
987,2
73,6
1276,32
4740,90
3855,39
2199,2
3378,14
1786,-4
2208,34
3909,28
1863,60
4944,25
109,16
4931,129
993,37
2312,-4
1501,64
1402,-2
2617,50
1952,51
1931,47
1577,33
3270,102
3064,30
1052,0
3842,98
2125,152
1482,59
509,70
2563,6
12,12
3280,0
3272,105
4548,52
3568,23
2816,57
4734,10
2765,99
2245,25
3754,28
2712,4
2797,2
2768,-6
1995,77
4175,6
3518,29
550,87
3908,27
3688,-2
689,6
3706,33
4499,47
982,2
555,-2
883,115
1153,16
1757,111
3612,86
3457,45
1036,54
3222,39
1403,0
1288,29
2143,23
4534,109
2367,23
2705,18
4776,59
2481,61
2086,8
4848,33
1852,57
4721,49
3862,23
2379,74
1138,25
4687,9
1249,27
1269,49
3600,10
1194,-2
3531,58
1443,6
863,68
3923,62
401,38
224,53
1536,51
1201,35
2148,13
1065,81
658,1
1699,15
1033,39
2505,-6
3850,2
3586,101
329,9
1053,0
79,0
2534,7
2140,19
1985,102
4917,25
4093,4
3432,23
4198,33
3223,83
592,87
828,41
1278,110
1869,102
4852,31
3278,91
1245,-6
1723,10
3357,6
2904,0
2679,22
1662,54
3570,88
3171,25
735,60
1680,40
3466,35
3410,78
223,-6
2394,21
2422,2
4624,-4
4214,0
1399,36
3014,171
3116,0
2523,89
1195,64
2937,80
490,39
2420,4
3300,30
3529,-6
937,9
2650,4
2807,1
2653,0
2047,10
3834,7
2840,-6
495,106
665,58
1369,116
4710,41
1458,58
2532,9
4759,59
1684,18
604,30
250,58
1978,-2
2488,25
4168,69
2688,21
3883,23
87,36
1010,50
2582,21
1320,4
4089,68
1470,67
61,8
3801,19
3492,29
2478,-2
2476,38
4911,17
4261,-2
492,79
3479,18
1676,21
186,35
1963,6
1815,101
397,98
4351,89
1758,95
1484,54
4533,5
2539,25
3833,67
631,4
4663,110
313,49
4566,56
1358,0
4008,54
2561,13
4535,58
2842,38
4418,52
786,52
4104,0
4882,19
3084,14
1763,182
704,71
2529,0
1949,0
1117,74
1226,25
4552,44
2068,13
4292,103
2411,41
1743,6
2462,23
3580,0
1613,96
2965,33
3237,4
3817,136
3233,66
1450,34
2823,2
4873,36
683,61
2009,21
423,113
688,6
3283,126
3097,26
2567,31
3398,82
4525,66
2165,18
346,25
1341,74
2352,87
671,31
1170,2
2706,39
496,58
4336,56
4809,29
2782,28
4654,53
4530,72
4408,102
628,4
108,32
2410,-6
4812,41
3511,48
358,51
783,37
3344,10
2274,-1
2413,44
3201,60
2457,25
603,56
1395,39
4319,5
4934,36
1586,0
4074,60
1461,-4
606,66
1656,23
2155,82
2168,23
27,0
3353,25
2444,0
4604,2
1788,56
1294,6
4391,32
3702,49
1109,37
3263,25
4302,50
389,79
2960,43
4452,105
1836,62
3919,50
1683,15
1736,44
1023,153
3553,8
4652,16
4619,31
4712,50
1000,26
2513,8
4658,69
4211,8
330,1
2106,67
158,41
4437,18
3349,18
534,0
3314,179
178,31
2475,4
796,10
2673,111
192,31
3832,6
4016,85
681,90
934,8
4806,0
275,25
774,54
3203,136
2586,25
1834,3
4551,12
4910,29
2766,94
1697,81
1333,79
3284,14
845,35
4706,70
321,56
4427,53
3777,5
2384,53
664,-2
3497,0
4648,6
1551,44
3200,82
349,100
156,6
2454,30
757,0
1330,58
2708,41
930,9
615,11
1465,40
390,72
3107,52
1060,47
4456,74
2552,25
645,16
1376,14
3153,3
2526,19
398,64
4304,9
3710,12
3199,8
4703,89
2696,60
2828,64
951,10
3968,0
1306,33
3864,40
3213,7
97,-2
830,12
4888,121
1299,14
4584,-2
2605,73
2537,89
1325,0
1701,94
4853,4
57,58
4295,91
4130,8
3393,89
815,15
4230,39
4699,38
4950,45
3501,33
4903,111
2935,53
3756,25
568,15
2980,7
143,-2
1511,0
3808,31
55,-8
244,29
4867,-6
132,95
2293,2
2859,60
1507,43
281,54
182,22
942,6
1040,-2
2943,10
163,25
770,38
3854,43
