season,match,status,toss-team,toss-decision,venue
2019,43,result,rajasthan-royals,bowl,"Eden Gardens, Kolkata"
2019,42,result,kings-xi-punjab,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,41,result,chennai-super-kings,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,40,result,delhi-capitals,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,39,result,chennai-super-kings,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,38,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,37,result,delhi-capitals,bowl,"Feroz Shah Kotla, Delhi"
2019,36,result,rajasthan-royals,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,35,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2019,34,result,mumbai-indians,bat,"Feroz Shah Kotla, Delhi"
2019,33,result,chennai-super-kings,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,32,result,rajasthan-royals,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2019,31,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2019,30,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,29,result,chennai-super-kings,bowl,"Eden Gardens, Kolkata"
2019,28,result,royal-challengers-bangalore,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2019,27,result,rajasthan-royals,bowl,"Wankhede Stadium, Mumbai"
2019,26,result,delhi-capitals,bowl,"Eden Gardens, Kolkata"
2019,25,result,chennai-super-kings,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,24,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2019,23,result,chennai-super-kings,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,22,result,kings-xi-punjab,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2019,21,result,kolkata-knight-riders,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,20,result,delhi-capitals,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,19,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,18,result,chennai-super-kings,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,17,result,kolkata-knight-riders,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,16,result,sunrisers-hyderabad,bowl,"Feroz Shah Kotla, Delhi"
2019,15,result,chennai-super-kings,bowl,"Wankhede Stadium, Mumbai"
2019,14,result,rajasthan-royals,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,13,result,delhi-capitals,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2019,12,result,rajasthan-royals,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2019,11,result,royal-challengers-bangalore,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2019,10,result,delhi-capitals,bowl,"Feroz Shah Kotla, Delhi"
2019,9,result,kings-xi-punjab,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2019,8,result,rajasthan-royals,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
