,points
2894,31
1052,0
1697,81
3975,25
48,-6
586,39
1044,-2
1995,77
45,49
1481,12
2327,0
2611,0
2480,107
854,9
1655,35
4230,39
4435,0
1853,19
3423,32
4533,5
3092,4
1169,101
4712,50
638,6
1043,0
2516,7
1361,21
4212,48
275,25
753,41
101,56
3801,19
546,62
3974,15
1372,105
2478,-2
2767,74
3767,19
4745,16
1942,25
2396,-2
831,6
3309,14
3152,18
1879,40
1376,14
2088,50
2686,81
4048,29
3739,2
1646,3
4278,53
2813,28
1063,0
1571,-2
1603,58
1619,35
4468,52
960,16
4742,23
2222,6
1401,20
3214,2
2570,0
3936,33
4950,45
2874,0
42,46
1676,21
4851,0
2255,5
1616,60
3679,35
3367,34
929,45
2783,4
4430,6
3335,109
2599,3
4195,95
917,60
1607,34
3363,12
4041,42
655,0
1275,1
2589,25
4780,163
3097,26
4839,34
2797,2
404,0
46,0
102,0
4117,91
1074,0
1792,30
1774,28
4153,2
3904,25
4063,39
1368,6
2762,14
3859,92
3889,41
345,83
1206,0
4923,0
1700,8
3917,-2
3403,42
1363,25
3348,25
1230,51
3750,12
2506,91
2944,53
846,2
232,73
1722,35
3315,10
2793,1
1780,58
4351,89
4114,54
2014,95
3165,-6
4424,190
1441,25
1402,-2
3510,61
277,0
3567,84
2423,6
1369,116
2727,1
3918,25
1546,8
1948,11
3342,-1
1247,14
4717,42
613,29
1143,10
3939,35
65,23
2291,20
4375,2
185,41
2463,19
3104,37
610,25
463,-2
3220,84
1184,25
2017,-4
2485,62
4837,156
3632,16
458,92
2986,20
1832,15
4385,48
2681,0
3544,50
1054,62
801,35
166,47
1086,1
967,2
3697,27
2524,7
4774,-1
1487,7
1861,36
504,79
2792,24
4829,64
2089,8
1337,12
4713,30
4419,31
1568,24
384,37
1698,40
2451,48
4582,68
2195,33
4872,58
4619,31
627,171
2928,28
4875,33
2005,10
4525,66
3269,66
4687,9
821,49
4423,53
4659,43
1916,45
3352,98
2429,27
738,64
3560,23
869,41
4219,8
3428,12
2123,-2
3604,144
535,68
572,50
4022,38
3402,41
1760,18
3340,87
3145,62
2240,0
402,-6
618,15
3533,0
4182,6
1522,23
2788,162
1535,50
2739,45
2560,6
1434,18
2350,2
71,5
2672,68
2328,-6
1404,88
