,player-name,all-time-runs-scored,all-time-average,all-time-strike-rate,all-time-100s,all-time-50s,all-time-4s,all-time-6s,all-time-wkts,all-time-ave,all-time-econ,all-time-sr,all-time-catches,ipl-last-n-runs-scored,ipl-last-n-average,ipl-last-n-strike-rate,ipl-last-n-4s,ipl-last-n-6s,ipl-last-n-wkts,ipl-last-n-ave,ipl-last-n-econ,ipl-last-n-sr,ipl-last-n-catches,ipl-last-n-run-outs,ipl-last-n-points,ipl-1-runs-scored,ipl-1-average,ipl-1-strike-rate,ipl-1-4s,ipl-1-6s,ipl-1-wkts,ipl-1-ave,ipl-1-econ,ipl-1-sr,ipl-1-catches,ipl-1-run-outs,ipl-1-points,ipl-2-runs-scored,ipl-2-average,ipl-2-strike-rate,ipl-2-4s,ipl-2-6s,ipl-2-wkts,ipl-2-ave,ipl-2-econ,ipl-2-sr,ipl-2-catches,ipl-2-run-outs,ipl-2-points,ipl-3-runs-scored,ipl-3-average,ipl-3-strike-rate,ipl-3-4s,ipl-3-6s,ipl-3-wkts,ipl-3-ave,ipl-3-econ,ipl-3-sr,ipl-3-catches,ipl-3-run-outs,ipl-3-points,ipl-4-runs-scored,ipl-4-average,ipl-4-strike-rate,ipl-4-4s,ipl-4-6s,ipl-4-wkts,ipl-4-ave,ipl-4-econ,ipl-4-sr,ipl-4-catches,ipl-4-run-outs,ipl-4-points,ipl-5-runs-scored,ipl-5-average,ipl-5-strike-rate,ipl-5-4s,ipl-5-6s,ipl-5-wkts,ipl-5-ave,ipl-5-econ,ipl-5-sr,ipl-5-catches,ipl-5-run-outs,ipl-5-points
3197,rahul-tripathi,0.13951647719096272,0.5764323822778937,0.7578046621422249,0.0,0.12790697674418605,0.1705498602050326,0.06588003933136677,0.02316602316602317,0.26908045977011497,0.5906614785992218,0.30833333333333335,0.14950166112956811,0.09768637532133675,0.03805309734513274,0.16378685097487095,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.12241379310344827,0.08333333333333334,0.09448818897637795,0.1424548828874952,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.12556053811659193,0.06818181818181818,0.07874015748031496,0.18885191347753744,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.15246636771300448,0.030303030303030304,0.03937007874015748,0.13477537437603992,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.06060606060606061,0.06818181818181818,0.07874015748031496,0.18885191347753744,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.09090909090909091,0.03787878787878788,0.047244094488188976,0.16805324459234608,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.06565656565656566
3148,harbhajan-singh,0.1087926320333861,0.34029227557411273,0.7574505753909707,0.0,0.023255813953488372,0.13140726933830382,0.07177974434611603,0.4536679536679537,0.3028735632183908,0.5284046692607004,0.38666666666666666,0.26910299003322263,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.15264423076923078,0.2967741935483871,0.19421487603305784,0.09090909090909091,0.0,0.24482758620689654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3064516129032258,0.0,0.2,0.0,0.04484304932735426,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.7903225806451613,0.7086614173228346,0.0,0.0,0.15695067264573992,0.0,0.0,0.0,0.0,0.0,0.4,0.19999999999999998,0.41129032258064513,0.08464566929133858,0.0,0.0,0.393939393939394,0.0,0.0,0.0,0.0,0.0,0.2,0.35,0.5376344086021505,0.34383202099737536,0.0,0.0,0.2171717171717172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31451612903225806,0.0,0.0,0.0,0.05050505050505051
495,jaydev-unadkat,0.0241041876528997,0.33774066341916026,0.7403953968722337,0.0,0.0,0.0195712954333644,0.016715830875122913,0.35135135135135137,0.2694252873563219,0.622568093385214,0.2916666666666667,0.1362126245847176,0.02313624678663239,0.04424778761061947,0.11685652118264431,0.0,0.0,0.26666666666666666,0.18990384615384617,0.342741935483871,0.2066115702479339,0.09090909090909091,0.0,0.21206896551724136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31451612903225806,0.0,0.0,0.0,0.017937219730941704,0.0,0.0,0.0,0.0,0.0,0.4,0.2833333333333333,0.4946236559139785,0.1391076115485564,0.0,0.0,0.25112107623318386,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.5725806451612903,0.3976377952755905,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118279569892473,0.0,0.0,0.0,0.030303030303030304,0.06818181818181818,0.07874015748031496,0.11685652118264431,0.0,0.0,0.2,0.25,0.5483870967741935,0.3385826771653543,0.2,0.0,0.29292929292929293
3560,shikhar-dhawan,0.6103036408116276,0.759452563210392,0.739923281203895,0.09090909090909091,0.7325581395348837,0.8928238583410997,0.18780727630285154,0.007722007722007722,0.1896551724137931,0.642023346303502,0.2,0.3853820598006645,0.1748071979434447,0.06460176991150443,0.22795341098169716,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.21379310344827585,0.08333333333333334,0.09448818897637795,0.23044925124792015,0.13333333333333333,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.09417040358744394,0.03787878787878788,0.047244094488188976,0.1403216860787576,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.13452914798206278,0.0,0.007874015748031496,0.0016638935108153079,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.07070707070707072,0.05303030303030303,0.06299212598425197,0.16805324459234608,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.08080808080808081,0.34090909090909094,0.3622047244094488,0.26907535060613264,0.5333333333333333,0.0,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.3888888888888889
2062,faf-du-plessis,0.4497049935242481,0.7139874739039666,0.7607553850693419,0.045454545454545456,0.47674418604651164,0.5135135135135135,0.18780727630285154,0.09652509652509653,0.21080459770114943,0.5416342412451361,0.26333333333333336,0.42524916943521596,0.2107969151670951,0.07699115044247787,0.1743718275448093,0.18181818181818182,0.11538461538461539,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.29655172413793107,0.007575757575757576,0.015748031496062992,0.025433800808176848,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04035874439461883,0.03787878787878788,0.047244094488188976,0.05712701053799224,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.10313901345291479,0.34090909090909094,0.3622047244094488,0.2431968225001342,0.2,0.2727272727272727,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.42424242424242425,0.18181818181818182,0.19685039370078738,0.2512479201331115,0.3333333333333333,0.0,0.0,0.0,0.29032258064516125,0.0,0.8,0.0,0.3787878787878788,0.05303030303030303,0.06299212598425197,0.11813643926788686,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.07575757575757577
2296,sam-curran,0.07965174845301481,0.45836232892600326,0.7899085275892593,0.0,0.05813953488372093,0.09040074557315936,0.04818092428711898,0.17374517374517376,0.33632183908045976,0.6684824902723735,0.33999999999999997,0.07973421926910298,0.08740359897172235,0.05457227138643068,0.28452579034941766,0.11363636363636365,0.038461538461538464,0.3333333333333333,0.15961538461538466,0.33420855213803446,0.18016528925619835,0.18181818181818182,0.25,0.3931034482758621,0.007575757575757576,0.015748031496062992,0.05712701053799224,0.0,0.0,0.0,0.0,0.3118279569892473,0.0,0.2,0.0,0.06726457399103139,0.06060606060606061,0.07086614173228346,0.4453688297282308,0.13333333333333333,0.0,0.2,0.9166666666666667,0.7580645161290323,0.6614173228346456,0.0,0.5,0.21973094170403587,0.03787878787878788,0.0,0.2789794786466999,0.0,0.0,0.0,0.0,0.31451612903225806,0.0,0.0,0.0,0.06565656565656566,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0,0.31451612903225806,0.0,0.2,0.0,0.08080808080808081,0.15151515151515152,0.1653543307086614,0.33444259567387685,0.2,0.09090909090909091,0.8,0.0625,0.3629032258064516,0.024606299212598423,0.0,0.0,0.8535353535353536
4566,glenn-maxwell,0.49625845445387823,0.6323358849454883,0.8976689288875775,0.13636363636363635,0.46511627906976744,0.5219012115563839,0.34119960668633237,0.21235521235521235,0.3635632183908046,0.6007782101167315,0.4083333333333333,0.5249169435215947,0.3033419023136247,0.1349557522123894,0.29039835568170697,0.2727272727272727,0.3076923076923077,0.0,0.0,0.4354838709677419,0.0,0.2727272727272727,0.0,0.3448275862068966,0.30303030303030304,0.3228346456692913,0.3714180070253282,0.26666666666666666,0.2727272727272727,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.37668161434977576,0.07575757575757576,0.08661417322834646,0.1403216860787576,0.13333333333333333,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.08968609865470853,0.0,0.007874015748031496,0.0016638935108153079,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.030303030303030304,0.1893939393939394,0.20472440944881887,0.2987877347278346,0.2,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.22222222222222224,0.32575757575757575,0.0,0.32687944335198915,0.2,0.36363636363636365,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.40404040404040403
3751,nitish-rana,0.2047776658512016,0.6409185803757829,0.8047211566833875,0.0,0.2441860465116279,0.23578751164958062,0.14552605703048183,0.05405405405405406,0.24333333333333335,0.5416342412451361,0.30333333333333334,0.08970099667774087,0.416452442159383,0.1836283185840708,0.2320491488544733,0.29545454545454547,0.3076923076923077,0.26666666666666666,0.03125,0.26881720430107525,0.045454545454545456,0.18181818181818182,0.0,0.6258620689655172,0.26515151515151514,0.0,0.2173537930609478,0.13333333333333333,0.09090909090909091,0.4,0.10833333333333332,0.41129032258064513,0.08464566929133858,0.2,0.0,0.57847533632287,0.44696969696969696,0.47244094488188976,0.28214879961968153,0.3333333333333333,0.36363636363636365,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.44843049327354256,0.13636363636363635,0.14960629921259844,0.18885191347753744,0.13333333333333333,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.15151515151515152,0.12121212121212122,0.13385826771653542,0.1918231518897076,0.13333333333333333,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.13131313131313133,0.25757575757575757,0.2755905511811023,0.22795341098169716,0.13333333333333333,0.18181818181818182,0.4,0.10833333333333332,0.5,0.1456692913385827,0.0,0.0,0.5656565656565657
41,jonny-bairstow,0.24039430133832207,0.6919508234748317,0.7972263204485099,0.09090909090909091,0.19767441860465115,0.26001863932898417,0.13667649950835792,0.0,0.0,0.0,0.0,0.32558139534883723,0.4190231362467866,0.1847345132743363,0.2395714744431795,0.25,0.42307692307692313,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.44482758620689655,0.05303030303030303,0.06299212598425197,0.23460898502495842,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.07174887892376682,0.2878787878787879,0.30708661417322836,0.3529303013496025,0.2,0.36363636363636365,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.3004484304932735,0.4772727272727273,0.0,0.18885191347753744,0.2,0.2727272727272727,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.5454545454545455,0.32575757575757575,0.3464566929133858,0.32687944335198915,0.2,0.36363636363636365,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.40404040404040403,0.09090909090909091,0.10236220472440945,0.15525406373992065,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.10606060606060608
2151,khaleel-ahmed,0.0007195279896387969,0.046392948271862675,0.21853053998229566,0.0,0.0,0.0,0.0,0.16602316602316602,0.2708045977011494,0.6326848249027238,0.28833333333333333,0.03654485049833887,0.0,0.004424778761061947,0.0016638935108153079,0.0,0.0,0.4666666666666667,0.10714285714285714,0.28522920203735147,0.14285714285714285,0.0,0.0,0.3396551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31451612903225806,0.0,0.0,0.0,0.04484304932735426,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.19999999999999998,0.41129032258064513,0.05905511811023622,0.0,0.0,0.4260089686098655,0.0,0.0,0.0,0.0,0.0,0.2,0.3833333333333333,0.5,0.28346456692913385,0.0,0.0,0.18686868686868688,0.0,0.007874015748031496,0.0016638935108153079,0.0,0.0,0.6000000000000001,0.18333333333333332,0.4032258064516129,0.05249343832020997,0.0,0.0,0.4393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118279569892473,0.0,0.0,0.0,0.010101010101010104
4315,ms-dhoni,0.4934522952942869,0.8986314080259801,0.7960460312776629,0.0,0.313953488372093,0.4389561975768872,0.2979351032448378,0.0,0.0,0.9727626459143969,0.0,0.9036544850498338,0.2107969151670951,0.09513274336283187,0.17010743411187115,0.06818181818181818,0.15384615384615385,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.2603448275862069,0.03787878787878788,0.047244094488188976,0.09410242188944352,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.05829596412556054,0.19696969696969696,0.2125984251968504,0.13275853375686986,0.06666666666666667,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.273542600896861,0.1590909090909091,0.0,0.20720368014094157,0.06666666666666667,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.22222222222222224,0.17424242424242425,0.1889763779527559,0.3495689003176524,0.06666666666666667,0.18181818181818182,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.27272727272727276,0.05303030303030303,0.06299212598425197,0.10754802601724399,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.06565656565656566
